                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
 GN-2018B-Q-119-1210-003                                         | N20181217S0010.fits                       | 2018-12-17 | 2018-12-17 18:09:41.736202+00 | 19504fdf58e22e0c8a60a0e312b34e28
 GN-2018B-Q-119-1210-002                                         | N20181217S0009.fits                       | 2018-12-17 | 2018-12-17 18:09:42.491195+00 | 0fd1fb2fdeb48069ba2bc7339141bfb7
 GN-2018B-Q-119-1210-001                                         | N20181217S0008.fits                       | 2018-12-17 | 2018-12-17 18:09:43.188189+00 | 281b1e872283b7666afac6a1748ccdcf
 GN-2018B-Q-318-33-004                                           | N20181217S0005.fits                       | 2019-12-17 | 2018-12-17 18:10:00.040044+00 | 7f1c0c2b7423f088aa45f3b1728398fc
 GN-2018B-Q-318-21-015                                           | N20181217S0007.fits                       | 2018-12-17 | 2018-12-17 18:10:03.670012+00 | 3d2a77157ea72a6f7e98c50b2a1fa64c
 GN-2018B-Q-318-33-003                                           | N20181217S0004.fits                       | 2019-12-17 | 2018-12-17 18:10:16.403903+00 | e654744a57b2fd161c094f5299825d53
 GN-2018B-Q-318-33-002                                           | N20181217S0003.fits                       | 2019-12-17 | 2018-12-17 18:10:22.50785+00  | 9c2c6502d3c0fbe91f7f1bb879178cee
 GN-2018B-Q-318-33-001                                           | N20181217S0002.fits                       | 2019-12-17 | 2018-12-17 18:10:26.338817+00 | 09775b3427e7acf552bf6624ec678140
 GN-CAL20181217-2-001                                            | N20181217S0001.fits                       | 2018-12-17 | 2018-12-17 18:10:26.962811+00 | 780b0fd96df8d165015a9ff3901e556a
 GS-2018B-Q-233-191-001                                          | S20181218S0016.fits                       | 2018-12-17 | 2018-12-17 18:11:05.588478+00 | cfbc332f17fd028d974e995d73853573
 GS-2018B-Q-233-196-001                                          | S20181218S0017.fits                       | 2018-12-17 | 2018-12-17 18:15:25.545234+00 | 1d3775332b10068244964221b4003254
 GS-2018B-Q-233-71-001                                           | S20181218S0018.fits                       | 2018-12-17 | 2018-12-17 18:19:27.334144+00 | 6630aae6bbc211501249936eb25426fc
 GS-2018B-Q-233-75-001                                           | S20181218S0019.fits                       | 2018-12-17 | 2018-12-17 18:23:23.232106+00 | 5d3b0e2d75621727007c2521da849c17
 GS-2018B-Q-233-50-001                                           | S20181218S0020.fits                       | 2018-12-17 | 2018-12-17 18:28:01.131704+00 | 9914dfc29ad8632ed9340ce47123f086
 GS-2018B-Q-233-55-001                                           | S20181218S0021.fits                       | 2018-12-17 | 2018-12-17 18:32:13.142526+00 | 92fcb19d2a46bff104ef27f567d2df9c
 GS-2018B-Q-233-161-001                                          | S20181218S0022.fits                       | 2018-12-17 | 2018-12-17 18:35:54.927616+00 | 235937ecfae04a80a2a1e75454ebbff0
 GS-2018B-Q-233-166-001                                          | S20181218S0023.fits                       | 2018-12-17 | 2018-12-17 18:41:29.017739+00 | 89973510b90825686ee07b30d56fdbb4
 GN-2018B-Q-133-20-004                                           | N20181217S0269.fits                       | 2019-12-17 | 2018-12-17 20:13:55+00 | 0e8942d64566026eb5960ad5fa5fd270
 GN-2018B-Q-133-20-a01                                           | N20181217S0266.fits                       | 2019-12-17 | 2018-12-17 20:13:56.572387+00 | 74f905c4045ee0a0f78e45cb58ee58b4
 GN-2018B-Q-133-20-001                                           | N20181217S0266.fits                       | 2019-12-17 | 2018-12-17 20:13:56.572387+00 | 74f905c4045ee0a0f78e45cb58ee58b4
 GS-CAL20181216-1-069                                            | S20181218S0031.fits                       | 2018-12-17 | 2018-12-17 20:50:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-2013B-Q-28-150-002                                           | N20131203S0006.fits                       | 2018-12-18 | 2018-12-18 20:50:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-2015A-C-2-96-002                                             | N20150217S0380.fits                       | 2018-12-18 | 2018-12-18 20:51:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-2015A-C-4-24-086                                             | N20150220S0320.fits                       | 2018-12-18 | 2018-12-18 20:52:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-2015A-Q-91-5-002                                             | N20150216S0142.fits                       | 2018-12-18 | 2018-12-18 20:53:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-CAL20150217-2-003                                            | N20150217S0274.fits                       | 2018-12-18 | 2018-12-18 20:54:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
 GN-CAL20150925-2-007                                            | N20150929S0013.fits                       | 2018-12-18 | 2018-12-18 20:55:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
  GN-2015A-Q-36-15-001                                           | N20150216S0129.fits                       | 2018-12-18 | 2018-12-19 20:55:16.114343+00 | 009e773c1fe137e4db7d0b11388e883c
(3334159 rows)

